vineyard,shannon_entropy,faith_pd,chao1,W_Unifrac_pcoa1,W_Unifrac_pcoa2,bray_pcoa1,bray_pcoa2,pH,org_C,Total_N,C.N_ratio,P2O5,K2O,Mg,S,CACO3,Total_Fe,Total_Mn,Total_Cu,Total_Zn,Bor
I,9.104734801,359.3333333,7446.833333,0.161546125,-0.346785112,0.104162091,0.026457081,7.51,0.88,101,9,17,25,7,234,24,15,452,26,63,0.37
II,8.425375994,246.8,2292.4,-0.216308913,0.004794997,-0.139649328,0.066446478,7.47,1.21,128,10,19,18,8,236,27,17,504,30,77,0.37
III,7.811085367,340.6666667,878.3333333,-0.121865843,0.113241404,-0.08056831,-0.022908504,7.5,1.1,118,9,25,35,13,257,21,19,695,40,96,0.39
IV,8.327362899,290.6,2426,0.199353819,-0.196727521,0.035615387,-0.032532693,7.27,1.7,175,10,38,28,14,305,24,12,468,48,84,0.51
V,8.724790141,308.4,4736.2,-0.101556099,-0.139037449,-0.054876105,-0.049279617,7.58,0.8,84,10,17,19,9,198,26,13,452,29,71,0.27
VI,8.490953035,215.2,2484,-0.184380638,-0.107335907,-0.069780933,-0.014761455,7.55,0.75,79,10,19,22,7,180,26,12,432,21,56,0.24
VII,8.441925133,208.1666667,2639,-0.312766046,0.023609086,-0.120050196,-0.066531839,7.51,1.07,108,10,23,26,12,267,27,12,467,32,86,0.38
VIII,8.396704072,189,2531.833333,-0.17463798,0.318512185,-0.079858009,0.288576893,7.24,0.99,97,10,26,32,9,193,8,23,563,28,108,0.3
X,8.649569369,531.3333333,4621.666667,0.665225978,0.364622676,0.4825941,-0.086155619,7.12,1.6,152,11,34,35,19,281,2,34,665,78,162,0.45
XI,8.306395597,262.5,3055.333333,0.034907625,-0.10794534,-0.115703861,-0.11433194,7.55,0.93,99,9,27,25,9,245,27,14,448,39,84,0.31
